u,v,key,osmid,lanes,name,highway,oneway,reversed,length,geometry,ref,maxspeed,access,tunnel,bridge,width
158030029,1685221014,0,41857237,2,美竹通り,tertiary,False,False,9.627,"LINESTRING (139.7021916 35.6618918, 139.7022926 35.6618642)",,,,,,
158030029,252674320,0,23179562,2,,tertiary,False,False,127.99999999999999,"LINESTRING (139.7021916 35.6618918, 139.7020754 35.6619157, 139.701943 35.661947, 139.701681 35.6620089, 139.701324 35.6620932, 139.7009721 35.6621809, 139.7008289 35.6622055)",,,,,,
158030029,252683741,0,931455737,,明治通り,primary,True,False,191.75,"LINESTRING (139.7021916 35.6618918, 139.7021834 35.6620421, 139.7021326 35.6629722, 139.7021066 35.6634541, 139.7021031 35.6636147)",305,50,,,,
196971409,1685220982,0,"[23646664, 1256773489]",,六本木通り,trunk,True,False,11.408999999999999,"LINESTRING (139.703018 35.6581259, 139.70308 35.658138, 139.7031408 35.6581498)",246,60,yes,,,
196971409,252683801,0,"[350053182, 1106270528, 852978894]",2,明治通り,primary,True,False,167.95499999999998,"LINESTRING (139.703018 35.6581259, 139.7029219 35.6583349, 139.7026696 35.658855, 139.7024488 35.6593368, 139.7024254 35.6593878, 139.7024088 35.6594318, 139.7023676 35.6595405)",305,50,,,,
241864247,748883778,0,756290725,1,,unclassified,True,False,23.162,"LINESTRING (139.6988992 35.6557327, 139.69869 35.6556123)",,30,,,,
241864247,748883655,0,22566960,2,,residential,False,True,60.449999999999996,"LINESTRING (139.6988992 35.6557327, 139.6989032 35.6556667, 139.6992396 35.6552751)",,,,,,
241864247,741609949,0,215958086,2,,residential,False,False,34.083,"LINESTRING (139.6988992 35.6557327, 139.6988709 35.6557943, 139.6987674 35.6560199)",,,,,,
241895769,748883696,0,22748822,,,unclassified,True,False,99.07100000000001,"LINESTRING (139.6981655 35.6549741, 139.6979768 35.6547913, 139.6978155 35.6546359, 139.6977015 35.6545543, 139.6976287 35.6545221, 139.6975449 35.654494, 139.6974359 35.6544748, 139.6973205 35.6544683)",,,,,,
241895769,598965308,0,46922471,,,tertiary,False,False,90.177,"LINESTRING (139.6981655 35.6549741, 139.698111 35.6550496, 139.6976958 35.6556251, 139.6976607 35.6556737)",,,,,,
241895777,732207700,0,22566958,,,unclassified,True,False,106.582,"LINESTRING (139.6990128 35.6537126, 139.698811 35.6538931, 139.6987226 35.6539718, 139.6986495 35.6540523, 139.6985825 35.6541521, 139.6985005 35.6542635, 139.6983632 35.6545034)",,30,,,,
241895777,241895780,0,56252212,2,渋谷区特別区道870号線（野沢通り）,tertiary,True,False,64.438,"LINESTRING (139.6990128 35.6537126, 139.6991701 35.6538111, 139.699326 35.6539054, 139.699458 35.6539683, 139.6996059 35.6540317)",870,30,,,,
241895780,241895788,0,22566960,2,,residential,False,False,115.08800000000001,"LINESTRING (139.6996059 35.6540317, 139.6995692 35.6541757, 139.6996011 35.6545258, 139.6995701 35.6547831, 139.6995265 35.6550592)",,,,,,
